Datum,Match-up,Bet,Fair,Bookie,Edge,Uitslag,G/F,Result,Inzet,Winst/Verlies,Notitie
06/04/26,,Villarreal Over 3.5,2.65,2.75,3.77,,,X,,,
06/04/26,,Villareal +0.5,1.32,1.38,4.55,,,X,,,
Dagtotaal 06/04/26,,,,,,,,,137.50,-87.50,ROI -63.6% · 14 plays

10/04/26,,Hoffenheim Win,2.06,2.1,1.94,,,X,,,
10/04/26,,Hoffenheim over 2.5,1.51,1.57,3.97,,,X,,,
10/04/26,,West ham gelijk,3.29,3.75,13.98,,,0,5,-5,
10/04/26,,West ham under 2.5,1.72,2.03,18.02,,,0,15,-15,
10/04/26,,Paris FC Win,2.6,3.86,48.46,,,1,5,14.3,
10/04/26,,Paris FC Over 2.5,1.45,1.67,15.17,,,1,20,13.4,
10/04/26,,Paris +0.5,1.6,1.93,20.63,,,X,,,
10/04/26,,Marseille Win,1.15,1.28,11.30,,,1,20,5.6,
10/04/26,,Marseille -1.5,1.38,1.76,27.54,,,X,,,
10/04/26,,Marseille Over 3.5,1.56,2.17,39.10,,,1,15,17.55,
10/04/26,,Roma Win,1.24,1.39,12.10,,,1,20,7.8,
10/04/26,,Roma -1.5,1.64,2.08,26.83,,,X,,,
10/04/26,,Roma Over 2.5,1.59,1.95,22.64,,,1,15,14.25,
10/04/26,,Twente Under 3.5,1.65,1.99,20.61,,,1,15,14.85,
10/04/26,,Famalicao Win,1.5,1.57,4.67,,,X,,,
10/04/26,,Famalicao Over 2.5,1.98,2.09,5.56,,,X,,,
10/04/26,,Real Madrid Win,1.27,1.32,3.94,,,X,,,
10/04/26,,Real Madrid -1.5,1.69,1.86,10.06,,,X,,,
Dagtotaal 10/04/26,,,,,,,,,130.00,67.75,ROI 52.1% · 9 plays

11/04/26,,Heidenheim Win,2.28,3.11,36.40,,,1,10,21.1,
11/04/26,,Heidenheim Over 2.5,1.72,1.96,13.95,,,1,15,14.4,
11/04/26,,Dortmund Win,1.53,2.01,31.37,,,0,15,-15,
11/04/26,,Dortmund Over 3.5,1.7,2.42,42.35,,,0,15,-15,
11/04/26,,Leipzig Win,1.4,1.54,10.00,,,X,,,
11/04/26,,Leipzig Over 3.5,1.77,2.23,25.99,,,0,15,-15,
11/04/26,,Leipzig -1.5,1.93,2.33,20.73,,,X,,,
11/04/26,,Eintracht Win,2.12,2.66,25.47,,,1,10,16.6,
11/04/26,,Eintracht Over 2.5,1.32,1.66,25.76,,,1,20,13.2,
11/04/26,,Bayern Win,1.22,1.36,11.48,,,1,20,7.2,
11/04/26,,Bayern Over 3.5,1.69,2.3,36.09,,,1,15,19.5,
11/04/26,,Bayern Over 2.5,1.28,1.5,17.19,,,X,,,
11/04/26,,Arsenal Win,1.23,1.45,17.89,,,0,20,-20,
11/04/26,,Arsenal Over 2.5,1.28,1.62,26.56,,,1,20,12.4,
11/04/26,,Burnley Win,4.28,4.5,5.14,,,0,5,-5,
11/04/26,,Burnley Draw,3.48,4,14.94,,,0,5,-5,
11/04/26,,Burnley Under 2.5,1.89,2.1,11.11,,,1,15,16.5,
11/04/26,,Nantes Win,3.68,4.16,13.04,,,0,5,-5,
11/04/26,,Nantes Gelijk,2.9,3.42,17.93,,,1,5,12.1,
11/04/26,,Nantes Under 2.5,1.44,1.69,14.79,,,1,20,13.8,
11/04/26,,Cagliari Gelijk,2.93,3.21,8.72,,,0,5,-5,
11/04/26,,Cagliari Under 2.5,1.48,1.66,10.84,,,1,20,13.2,
11/04/26,,Torino Win,1.59,1.96,18.88,,,1,15,14.4,
11/04/26,,Torino Over 2.5,1.99,2.5,20.40,,,1,10,15,
11/04/26,,Udinese Win,6.32,6.9,8.41,,,1,2.5,14.75,
11/04/26,,Udinese Gelijk,4.1,4.86,15.64,,,0,5,-5,
11/04/26,,Udinese Over 2.5,1.84,1.87,1.60,,,X,,,
11/04/26,,Udinese +1.5,1.58,1.72,8.14,,,X,,,
11/04/26,,Atalanta Win,2.17,3.23,32.82,,,0,10,-10,
11/04/26,,Utrecht Under 2.5,1.97,2.31,14.72,,,0,10,-10,
11/04/26,,PSV Win,1.43,1.85,22.70,,,1,20,17,
11/04/26,,Groningen Under 3.5,1.56,1.68,7.14,,,1,15,10.2,
11/04/26,,Heracles Over 3.5,1.95,2.3,15.22,,,0,10,-10,
11/04/26,,AVS Win,3.5,5.25,33.33,,,0,5,-5,
11/04/26,,AVS Draw,3.16,3.8,16.84,,,1,5,14,
11/04/26,,AVS Under 2.5,1.65,1.88,12.23,,,1,15,13.2,
11/04/26,,Rio Ave Win,4.43,4.83,8.28,,,1,5,19.15,
11/04/26,,Rio Ave Draw,3.48,3.56,2.25,,,X,,,
11/04/26,,Rio Ave Over 2.5,2.21,2.3,3.91,,,X,,,
11/04/26,,Estrela Win,11.51,12,4.08,,,X,,,
11/04/26,,Estrela Over 2.5,1.41,1.48,4.73,,,X,,,
11/04/26,,Sociedad Win,1.72,1.79,3.91,,,X,,,
11/04/26,,Sociedad Over 2.5,1.61,1.96,17.86,,,1,15,14.4,
11/04/26,,Elche Win,1.81,2.55,40.88,,,1,15,23.25,
11/04/26,,Elche Over 2.5,2.04,2.1,2.94,,,X,,,
11/04/26,,Barcelona Win,1.11,1.31,18.02,,,1,20,6.2,
11/04/26,,Barca -1.5,1.3,1.81,39.23,,,X,,,
11/04/26,,Barca Over 3.5,1.62,1.88,16.05,,,1,15,13.2,
11/04/26,,Atletico Madrid Win,2.3,2.45,6.52,,,0,10,-10,
Dagtotaal 11/04/26,,,,,,,,,457.50,199.75,ROI 43.7% · 37 plays

12/04/26,,Bremen Win,2.99,3.33,11.37,,,0,5,-5,
12/04/26,,Bremen Over 2.5,1.65,1.78,7.88,,,1,15,11.7,
12/04/26,,Hamburger Gelijk,3.75,5.43,44.80,,,0,5,-5,
12/04/26,,Hamburger Win,5.21,7.8,49.71,,,0,2.5,-2.5,
12/04/26,,Hamburger +1.5,1.44,1.89,31.25,,,X,,,
12/04/26,,Hamburger Under 3.5,1.37,1.81,32.12,,,0,20,-20,
